Feature,Coefficient
Beta_0,-0.0017392803247165175
Beta_1,-0.004080106352376284
Beta_2,-0.0003783851617874948
Beta_3,-0.0003482345799610066
Beta_4,-0.004409259296279711
Beta_5,-0.07242008367122485
Beta_6,-0.14016352216604
Beta_7,-0.0699475352568643
Beta_8,-0.19328071599704894
Beta_9,-0.052659615190917664
Beta_10,0.04848227267506183
Beta_11,0.11262943011530158
Beta_12,0.044385210096112016
Beta_13,0.06006912204068229
Beta_14,0.024483358456099585
Beta_15,0.000633531656419072
Beta_16,-0.000271693771805706
Beta_17,0.0
Beta_18,0.0
Beta_19,0.0
Beta_20,0.0008129232478842829
Beta_21,0.0011241770829081626
Beta_22,0.0030943549096302415
Beta_23,0.00016682871987230724
Beta_24,0.009292006050022204
Beta_25,-0.1346308536476424
Beta_26,-0.00642628830525389
Beta_27,-0.2751860441107003
Beta_28,-0.0017889839151535116
Beta_29,-0.35051319916480594
Beta_30,-0.0176550310653175
Beta_31,0.0
Beta_32,-0.012832882052194646
Beta_33,0.0
Beta_34,-0.007436000361902385
Beta_35,0.0
Beta_36,0.0
Beta_37,0.0
Beta_38,-0.002798307494229941
Beta_39,0.0
Beta_40,-0.003143189706762133
Beta_41,-0.0008011522858192204
Beta_42,0.0
Beta_43,0.0
Beta_44,-0.0031307410580210496
Beta_45,0.004285261641304708
Beta_46,0.00895495422072971
Beta_47,0.009117806576331993
Beta_48,0.057141338307200924
Beta_49,0.006994564178942556
Beta_50,2.893713855857797e-05
Beta_51,0.0
Beta_52,-7.974796272384332e-07
Beta_53,0.0
Beta_54,0.0
Beta_55,0.0
Beta_56,-0.0017899895173416288
Beta_57,-0.002948128050699693
Beta_58,-0.003817363019292605
Beta_59,-0.0017123768431765672
Beta_60,0.0
Beta_61,0.0
Beta_62,0.0
Beta_63,0.0
Beta_64,0.0
Beta_65,0.0
Beta_66,-3.825958075131556e-05
Beta_67,0.0
Beta_68,0.0
Beta_69,0.0
Beta_70,-0.004409121673835843
Beta_71,0.0
Beta_72,-0.00022584660758571233
Beta_73,-0.0009323230543911194
Beta_74,0.0
Beta_75,0.0
Beta_76,0.00198914623393021
Beta_77,0.0
Beta_78,0.0
Beta_79,0.0
Beta_80,0.0011361277619595322
Beta_81,0.0
Beta_82,0.0
Beta_83,0.0
Beta_84,0.0
Beta_85,0.0
Beta_86,0.0
Beta_87,0.0
Beta_88,0.0
