Feature,Coefficient
Beta_0,-0.007499401853078525
Beta_1,-0.06495822027192767
Beta_2,-0.006475464937662445
Beta_3,-0.00843021859829477
Beta_4,-0.01767640556879487
Beta_5,0.0
Beta_6,0.0
Beta_7,0.0
Beta_8,0.0
Beta_9,0.0
Beta_10,-0.057306460361292014
Beta_11,-0.03763993917063078
Beta_12,-0.01953569659285792
Beta_13,-0.030843319374377016
Beta_14,-0.041265611280715944
Beta_15,0.00026195444680761007
Beta_16,0.005510161360971609
Beta_17,0.009763504103875024
Beta_18,0.008572394726332262
Beta_19,0.0
Beta_20,0.008443014658830867
Beta_21,0.03281660620260966
Beta_22,0.02000540562541674
Beta_23,0.03233355850685083
Beta_24,0.05040338814892071
Beta_25,0.1746564710236222
Beta_26,0.048096217223710616
Beta_27,0.0036297088384220173
Beta_28,0.01562477045865504
Beta_29,0.08235122185200218
Beta_30,0.0
Beta_31,0.0
Beta_32,0.0
Beta_33,-0.0002843855974335678
Beta_34,0.0
Beta_35,-7.49030859236121e-05
Beta_36,-0.32334406691157647
Beta_37,0.0
Beta_38,-0.002877687823604189
Beta_39,-0.14854313621364748
Beta_40,0.0
Beta_41,0.0
Beta_42,0.0
Beta_43,0.0
Beta_44,0.0
Beta_45,0.020661927894881985
Beta_46,0.10171439141427316
Beta_47,0.012011325597478901
Beta_48,0.03857309138400251
Beta_49,0.25571519345270693
Beta_50,0.0
Beta_51,0.0
Beta_52,0.0
Beta_53,0.0
Beta_54,0.0
Beta_55,-0.003146423936928773
Beta_56,-0.0026399313753547623
Beta_57,-0.0027488472211194136
Beta_58,-0.0011557253698766408
Beta_59,-0.0006657943127123484
Beta_60,0.0009387153316882965
Beta_61,0.000588850301897552
Beta_62,0.008274770230346921
Beta_63,0.004228382423499476
Beta_64,0.0036804185226501497
Beta_65,0.0
Beta_66,0.0
Beta_67,0.0
Beta_68,0.0
Beta_69,0.0
Beta_70,0.0
Beta_71,0.0
Beta_72,0.0
Beta_73,0.0
Beta_74,0.0009432417561858671
Beta_75,0.0
Beta_76,0.0
Beta_77,0.0
Beta_78,0.0
Beta_79,0.0
Beta_80,0.002747322644299689
Beta_81,0.001525302428619491
Beta_82,0.00016876118362214686
Beta_83,0.0024253621107776634
Beta_84,0.0009914622572867445
Beta_85,0.0
Beta_86,0.0
Beta_87,0.0
Beta_88,-0.0037776262030079664
Beta_89,0.0
Beta_90,0.0
Beta_91,-0.0071498260706273666
Beta_92,0.0
Beta_93,0.0
Beta_94,-0.0004473482051890864
Beta_95,0.0004016224877459159
Beta_96,0.0004905950745236272
Beta_97,0.0005791354828155846
Beta_98,0.0003137676500488481
Beta_99,0.0016626617010290687
Beta_100,0.0
Beta_101,0.001720836682543734
Beta_102,0.0
Beta_103,0.0
Beta_104,0.0
Beta_105,0.0035295620714493794
Beta_106,0.002701268954020541
Beta_107,0.0
Beta_108,0.0
Beta_109,0.0
Beta_110,0.0
Beta_111,0.0005029657834079859
Beta_112,0.0
Beta_113,0.0
Beta_114,0.0
Beta_115,0.0
Beta_116,0.0
Beta_117,0.0
Beta_118,0.0
Beta_119,0.0
Beta_120,0.0
Beta_121,0.0
Beta_122,0.0
Beta_123,0.0
Beta_124,0.0
Beta_125,0.0
Beta_126,0.0
Beta_127,0.001051913400391788
Beta_128,0.0
Beta_129,0.0025965814413503145
Beta_130,-0.0009306730627130431
Beta_131,0.0
Beta_132,0.0
Beta_133,-0.0017593729188887586
Beta_134,-0.004168293084708759
Beta_135,0.0
Beta_136,-0.0003773485739256497
Beta_137,0.0
Beta_138,0.0
Beta_139,-3.6960854538056986e-05
Beta_140,0.0
Beta_141,0.0
Beta_142,0.0
Beta_143,0.0
Beta_144,0.0
Beta_145,-0.0012319398060708364
Beta_146,-8.003743926180418e-05
Beta_147,-0.0004459817315801879
Beta_148,0.0
Beta_149,0.0
Beta_150,0.0
Beta_151,0.0
Beta_152,0.0
Beta_153,0.0
Beta_154,0.0
Beta_155,0.0
Beta_156,0.006533444618076139
Beta_157,0.0
Beta_158,0.0
Beta_159,0.0009160496169412389
Beta_160,0.0
Beta_161,0.0
Beta_162,0.0
Beta_163,0.0
Beta_164,0.0
Beta_165,0.0
Beta_166,0.0009464605425283126
Beta_167,0.0
Beta_168,0.0
Beta_169,0.0
Beta_170,-0.002610156108203316
Beta_171,-0.0008587352744828517
Beta_172,-0.0001746148052453094
Beta_173,0.0
Beta_174,-0.0004452199239137699
Beta_175,0.0
Beta_176,-0.0010793028339881063
Beta_177,0.0
Beta_178,-0.00113411774825742
Beta_179,0.0
Beta_180,0.0
Beta_181,0.0
Beta_182,-0.0007032766567205022
Beta_183,0.0
Beta_184,0.0
Beta_185,0.0
Beta_186,-0.00933912757723711
Beta_187,0.0
Beta_188,-0.001612579217555552
Beta_189,-0.0034553248524753443
Beta_190,0.0
Beta_191,7.09701783600189e-05
Beta_192,0.0
Beta_193,0.0002912294599830064
Beta_194,0.00013842925402509428
Beta_195,-0.0028585965463523016
Beta_196,0.0
Beta_197,0.0
Beta_198,0.0
Beta_199,0.0
Beta_200,0.0
Beta_201,0.0
Beta_202,0.0
Beta_203,0.0
Beta_204,0.0
Beta_205,0.0
Beta_206,0.0002547985943099779
Beta_207,0.0
Beta_208,0.0
Beta_209,0.00416355508857418
Beta_210,-0.005166340576261961
Beta_211,-0.0019451456802252747
Beta_212,0.0
Beta_213,-0.0029289240031042997
Beta_214,0.0
Beta_215,0.0
Beta_216,0.0
Beta_217,0.0
Beta_218,0.0
Beta_219,0.0
Beta_220,-3.960484603418812e-05
Beta_221,0.0
Beta_222,-0.0061465659638377315
Beta_223,-0.0005699900757450407
Beta_224,-0.003463182810459472
Beta_225,0.0
Beta_226,0.0
Beta_227,0.0
Beta_228,0.0
Beta_229,0.0
Beta_230,-0.0005040902053749418
Beta_231,-0.00027871223279759324
Beta_232,-0.002207320424077605
Beta_233,-0.001160115963185937
Beta_234,0.0
Beta_235,0.0
Beta_236,-0.0009258079677424715
Beta_237,0.0
Beta_238,0.0
Beta_239,0.0
Beta_240,0.0
Beta_241,0.0
Beta_242,0.0
Beta_243,0.0
Beta_244,0.0
Beta_245,-0.01105918855452663
Beta_246,-0.007985984035517408
Beta_247,0.0
Beta_248,-0.0002508293164888084
Beta_249,-0.0025634497467360907
Beta_250,0.0
Beta_251,0.0
Beta_252,0.0
Beta_253,0.0
Beta_254,0.0012617123423253624
Beta_255,0.0010265544721937475
Beta_256,0.0
Beta_257,0.0
Beta_258,0.0
Beta_259,0.0
Beta_260,0.0
Beta_261,0.0
Beta_262,0.0
Beta_263,0.0
Beta_264,-0.0007560041223654848
Beta_265,0.0
Beta_266,0.0
Beta_267,0.0
Beta_268,0.0
Beta_269,0.0
Beta_270,0.0
Beta_271,0.0
Beta_272,0.0
Beta_273,0.0
Beta_274,0.0
Beta_275,0.0
Beta_276,-0.0001785284980811405
Beta_277,-0.0011053066463952172
Beta_278,-0.000757354192525532
Beta_279,-0.004170015378056499
Beta_280,0.0
Beta_281,0.0
Beta_282,0.0
Beta_283,0.0
Beta_284,0.0
Beta_285,0.0
Beta_286,0.0
Beta_287,0.0
Beta_288,0.0
Beta_289,0.0
Beta_290,0.0
Beta_291,0.0
Beta_292,0.0
Beta_293,0.0
Beta_294,0.0
Beta_295,0.0
Beta_296,0.0
Beta_297,0.0
Beta_298,0.0
Beta_299,0.0
Beta_300,0.0
Beta_301,0.0
Beta_302,0.003471399686753221
Beta_303,0.0
Beta_304,0.006967673359123403
Beta_305,0.00027599182089313256
Beta_306,0.0007242253502451908
Beta_307,0.0
Beta_308,0.00560137745797835
Beta_309,0.0014523562490353853
Beta_310,0.0
Beta_311,0.0
Beta_312,0.0
Beta_313,0.0
Beta_314,0.0
Beta_315,0.0
Beta_316,0.0
Beta_317,0.0
Beta_318,0.01246932388785259
Beta_319,0.0
Beta_320,-0.002966140584878289
Beta_321,0.0
Beta_322,0.0
Beta_323,0.0
Beta_324,0.0
Beta_325,0.0
Beta_326,0.00035015993030665594
Beta_327,0.0
Beta_328,0.0
Beta_329,0.0
Beta_330,-0.0019284970064959383
Beta_331,0.0
Beta_332,0.0
Beta_333,0.0
Beta_334,0.0
Beta_335,-0.005566574191266895
Beta_336,-0.007401687724023838
Beta_337,-0.0013133424941114279
Beta_338,-0.0006990387866804334
Beta_339,-0.010527324571140114
Beta_340,0.0046047380440079316
Beta_341,0.0026068723456568986
Beta_342,0.004101632823882157
Beta_343,0.0006473365599473182
Beta_344,0.0
Beta_345,0.0
Beta_346,0.0
Beta_347,0.0
Beta_348,0.0
Beta_349,0.0
Beta_350,0.0
Beta_351,0.0
Beta_352,0.0
Beta_353,0.0
Beta_354,0.002560302226893615
Beta_355,0.0
Beta_356,0.0
Beta_357,0.0009213558270040042
Beta_358,0.0
Beta_359,0.0
Beta_360,0.0
Beta_361,0.0010867303160275222
Beta_362,0.00816007974836054
Beta_363,0.0006974164964459785
Beta_364,0.005368274077210725
Beta_365,0.0020408060130282686
Beta_366,0.0
Beta_367,0.0
Beta_368,0.0
Beta_369,0.0
Beta_370,0.0
Beta_371,0.0012813680138052026
Beta_372,0.0
Beta_373,0.0009951589275296094
Beta_374,0.0
Beta_375,0.0
Beta_376,0.0
Beta_377,0.0
Beta_378,0.0003028319256330021
Beta_379,0.001615190127917515
Beta_380,0.0
Beta_381,0.0
Beta_382,0.0008381873236876647
Beta_383,0.0
Beta_384,0.0
Beta_385,0.0
Beta_386,0.0
Beta_387,0.0
Beta_388,0.0
Beta_389,0.0
Beta_390,-0.001259359838299551
Beta_391,-0.005480406663332945
Beta_392,-0.002414481110242636
Beta_393,-0.0007263036435831373
Beta_394,-0.002444436638221013
Beta_395,0.0
Beta_396,0.0
Beta_397,0.0
Beta_398,0.0
Beta_399,0.0
Beta_400,0.0
Beta_401,0.0
Beta_402,0.0
Beta_403,0.0
Beta_404,0.0
Beta_405,0.0
Beta_406,-0.0012013212938971909
Beta_407,0.0
Beta_408,-0.0023113527655238245
Beta_409,-0.0007233070343243674
Beta_410,0.0
Beta_411,0.0
Beta_412,0.0
Beta_413,0.0
Beta_414,0.0
Beta_415,0.0
Beta_416,0.001639796123293575
Beta_417,4.900872991727209e-05
Beta_418,0.0032016332740279273
Beta_419,0.003600226687287319
Beta_420,0.0
Beta_421,0.0037980223278728915
Beta_422,0.00046727088152932153
Beta_423,0.0
Beta_424,0.0
Beta_425,0.0
Beta_426,0.0
Beta_427,-0.001712322960330888
Beta_428,0.0
Beta_429,0.0009795289093305771
Beta_430,0.008911245323144454
Beta_431,0.007895586564580075
Beta_432,0.004547152004743188
Beta_433,0.00452615011345699
Beta_434,0.010090438432378009
Beta_435,-0.005071097416191765
Beta_436,-0.00013941393663750292
Beta_437,-0.0020400420170992362
Beta_438,0.0
