Feature,Coefficient
Beta_0,0.45365178510605375
Beta_1,0.4140684426168595
Beta_2,-0.31146075831457604
Beta_3,0.19864216914056698
Beta_4,0.197388910559691
Beta_5,-0.2571522620438591
Beta_6,0.2938408546971683
Beta_7,0.16354388381222867
Beta_8,0.07610340233687829
Beta_9,-0.07792554556616497
Beta_10,-0.02111193138886848
Beta_11,-0.06092555943888344
Beta_12,0.03477259453488695
Beta_13,0.05746396633264439
Beta_14,-0.11824077816983217
Beta_15,0.027711585482931813
Beta_16,0.018243907443658787
Beta_17,-0.052674606922263445
Beta_18,-0.05272267732124344
Beta_19,-0.013174451856279083
Beta_20,0.011396607218688626
Beta_21,0.025716166112168565
Beta_22,0.043894559381413116
Beta_23,0.040443255976316324
Beta_24,0.007891550408222604
Beta_25,0.0038048239485018644
Beta_26,-0.052808523130429864
Beta_27,-0.0283131230202143
Beta_28,-0.04053868558364893
Beta_29,-0.006523127056498489
Beta_30,0.026019951311819986
Beta_31,0.005347096283567065
Beta_32,-0.01778928611426596
Beta_33,-0.041086035087417386
Beta_34,-0.038316881924188674
Beta_35,-0.03535974791011709
Beta_36,0.013615065650591058
Beta_37,0.021581516267759338
Beta_38,0.024626370864883552
Beta_39,-0.05040351664656845
Beta_40,0.03447593455167632
Beta_41,-0.01038384931769745
Beta_42,-0.03920561887912317
Beta_43,0.02810216378244937
Beta_44,-0.05956788095413388
Beta_45,0.10688435816197518
Beta_46,-0.055681069782472746
Beta_47,-0.056209693616891786
Beta_48,-0.05033615454488692
Beta_49,-0.07409934743188103
Beta_50,0.08208165966843618
Beta_51,0.028598440918413508
Beta_52,-0.09060836651578562
Beta_53,-0.012618114123140383
Beta_54,0.03224162682025868
Beta_55,0.09355963199018183
Beta_56,0.03600924601808243
Beta_57,-0.0415896531949841
Beta_58,0.037710197979398064
Beta_59,-0.0024265235931571006
Beta_60,-0.0023540392951805
Beta_61,0.006006071212921508
Beta_62,-0.01402985147757738
Beta_63,0.08312213492030714
Beta_64,-0.08157929101127927
Beta_65,0.13266590064919523
Beta_66,0.0008410441932000755
Beta_67,0.022125945903332264
Beta_68,0.009510113950874314
Beta_69,0.02442544691539669
Beta_70,0.01970139629405582
Beta_71,-0.018417620163498218
Beta_72,-0.021126024061023322
Beta_73,0.01513228298483832
Beta_74,-0.036308507827118953
Beta_75,-0.014085269351184617
Beta_76,-0.01563092845023577
Beta_77,-0.009962227511145326
Beta_78,-0.027231643975806172
Beta_79,-0.007593212562208
Beta_80,-0.09293187182328541
Beta_81,0.007827902669294779
Beta_82,0.12716078374554407
Beta_83,0.11573852967825925
Beta_84,0.005898326978835877
Beta_85,0.03598036030735606
Beta_86,-0.011909471147363909
Beta_87,-0.06009064195723745
Beta_88,-0.007275894535969275
Beta_89,-0.0011366897329112924
Beta_90,-0.017432231365012048
Beta_91,0.007191155426647496
Beta_92,0.05093551395864631
Beta_93,-0.0147488189056817
Beta_94,0.010319031337935393
Beta_95,-0.017579819087893606
Beta_96,0.007306158562308082
Beta_97,0.03018701956974352
Beta_98,0.028249751879897166
Beta_99,0.037173201493365435
