Feature,Coefficient
Beta_0,0.43168921218932443
Beta_1,0.37947907293139577
Beta_2,-0.2276646652469289
Beta_3,0.18810932924023793
Beta_4,0.19474861522210613
Beta_5,-0.2659297924695886
Beta_6,0.25465930667634545
Beta_7,0.145138300432142
Beta_8,0.02776092910368019
Beta_9,-0.02170824568681111
Beta_10,-0.004109427888933361
Beta_11,-0.023517516356700838
Beta_12,0.0021987857575331234
Beta_13,0.052875820660118436
Beta_14,-0.10667781915391496
Beta_15,0.0024169184980012254
Beta_16,-0.006519973608034322
Beta_17,-0.011879455185674207
Beta_18,-0.0017730968140167646
Beta_19,-0.011054462025839895
Beta_20,0.00814840189302034
Beta_21,0.013841554606213308
Beta_22,0.00014082066457390355
Beta_23,0.021556980266895173
Beta_24,0.03351624840996989
Beta_25,-0.0051788518571261955
Beta_26,-0.030371960674723034
Beta_27,-0.0037667346290328235
Beta_28,-0.021707640560116554
Beta_29,0.0
Beta_30,0.019804281808984706
Beta_31,0.0
Beta_32,-0.008926561672985483
Beta_33,-0.005656483829959589
Beta_34,-0.04935206542341113
Beta_35,-0.03192383835402398
Beta_36,0.012116746851275685
Beta_37,0.022142798458544936
Beta_38,0.03309351589257544
Beta_39,-0.00964977095436269
Beta_40,0.013492379592643235
Beta_41,-0.01608265143700452
Beta_42,-0.013939477465918754
Beta_43,0.032862599781143954
Beta_44,-0.034430073910203286
Beta_45,0.0
Beta_46,-0.018623691225113276
Beta_47,-0.030097170267624387
Beta_48,-0.013565994864871722
Beta_49,-0.03150211098127339
Beta_50,0.0492494550274762
Beta_51,-0.004301893487549965
Beta_52,-0.021098729077280498
Beta_53,-0.004502656074941884
Beta_54,0.005006875117780713
Beta_55,0.08969269577945668
Beta_56,0.0
Beta_57,-0.02812946521469127
Beta_58,0.001520822523560124
Beta_59,0.0052258749086046535
Beta_60,-0.006069104133073413
Beta_61,0.0025841807226134354
Beta_62,-0.020318920526574847
Beta_63,0.07944776472409436
Beta_64,-0.08407542912382947
Beta_65,0.07820766035542474
Beta_66,0.003462515217988169
Beta_67,0.018032551307099756
Beta_68,-0.009325933210740687
Beta_69,0.017243302757703256
Beta_70,-0.005036243025762788
Beta_71,0.006535653258246177
Beta_72,0.0
Beta_73,0.0018564701779051522
Beta_74,-0.015021663786008606
Beta_75,0.002112367546815646
Beta_76,-0.015527704793919399
Beta_77,0.0012921635275547718
Beta_78,-0.005890769391524405
Beta_79,0.00755791832277543
Beta_80,-0.024876260574395546
Beta_81,-0.010883418529831306
Beta_82,0.07439911068625585
Beta_83,-0.001021430877436743
Beta_84,0.0027285832616881067
Beta_85,0.00972864320695269
Beta_86,-0.0012105357415468606
Beta_87,-0.0031564323717967104
Beta_88,0.0
Beta_89,0.0003301507750896974
Beta_90,0.0009845761144754628
Beta_91,6.79879840344673e-05
Beta_92,0.05116616177019757
Beta_93,-0.015891927326191255
Beta_94,-0.002106251511476485
Beta_95,-0.007247476877424632
Beta_96,-0.00022792177574577728
Beta_97,0.02085443421604522
Beta_98,0.019593551840444853
Beta_99,0.02703806651087654
