Feature,Coefficient
Beta_0,-0.0625038629130074
Beta_1,-0.13287563961494236
Beta_2,-0.18877747330876568
Beta_3,-0.07009045372549802
Beta_4,-0.2104295794775139
Beta_5,0.034925998543271844
Beta_6,0.0059349429475880665
Beta_7,0.025906490675161473
Beta_8,0.02704667333646789
Beta_9,0.02880022293722402
Beta_10,0.03661744807607357
Beta_11,0.007843044928917194
Beta_12,0.052169708783084814
Beta_13,0.04426769462416195
Beta_14,0.012974688977993257
Beta_15,3.0141698323402425e-05
Beta_16,0.0
Beta_17,8.606236036502183e-05
Beta_18,2.200328703831247e-05
Beta_19,1.4314626863108063e-05
Beta_20,-0.0003970655555478614
Beta_21,-0.004142580877878307
Beta_22,-0.00079429825642161
Beta_23,-0.0012446523585357562
Beta_24,-0.0004891003672310601
Beta_25,0.0
Beta_26,0.0
Beta_27,0.0
Beta_28,-4.001362445516443e-06
Beta_29,0.0
Beta_30,-0.041316627180563247
Beta_31,-0.0461912197599373
Beta_32,-0.01493224446620409
Beta_33,-0.009167309628342139
Beta_34,-0.024771588716978533
Beta_35,-0.00011742205585695818
Beta_36,-0.0014952436691635965
Beta_37,-0.0010657392033693763
Beta_38,-0.0047315196874580506
Beta_39,-0.0021444541583748
Beta_40,-0.0299420864922411
Beta_41,-0.02209659394833146
Beta_42,-0.06389674365107063
Beta_43,-0.03756524092039191
Beta_44,-0.021864580800922767
Beta_45,0.0
Beta_46,0.0
Beta_47,0.0
Beta_48,0.0
Beta_49,0.0
Beta_50,0.0
Beta_51,0.0
Beta_52,0.0
Beta_53,0.0
Beta_54,0.0
Beta_55,0.0
Beta_56,0.0
Beta_57,0.0
Beta_58,0.0
Beta_59,0.0
Beta_60,6.590493189980316e-06
Beta_61,5.804631345206219e-05
Beta_62,0.0
Beta_63,6.584050218377008e-05
Beta_64,0.0
Beta_65,0.0
Beta_66,0.0
Beta_67,0.0
Beta_68,0.0
Beta_69,0.0
Beta_70,0.0
Beta_71,0.0
Beta_72,0.0
Beta_73,0.0
Beta_74,0.0
Beta_75,0.0
Beta_76,0.0
Beta_77,0.0
Beta_78,4.277542998895494e-06
Beta_79,0.0
Beta_80,0.0
Beta_81,0.0
Beta_82,0.0
Beta_83,0.0
Beta_84,0.0
Beta_85,0.0
Beta_86,0.0
Beta_87,0.0
Beta_88,0.0
Beta_89,0.0
Beta_90,-8.515475527761721e-06
Beta_91,-9.988995186077579e-05
Beta_92,-5.54606542843081e-05
Beta_93,0.0
Beta_94,-7.287175967823487e-05
Beta_95,0.0
Beta_96,0.0
Beta_97,0.0
Beta_98,0.0
Beta_99,0.0
Beta_100,0.0
Beta_101,0.0
Beta_102,0.0
Beta_103,0.0
Beta_104,0.0
Beta_105,-1.673593422521724e-05
Beta_106,-2.4150421693273156e-05
Beta_107,0.0
Beta_108,0.0
Beta_109,-2.387803539380473e-05
Beta_110,1.398537482823637e-05
Beta_111,0.0
Beta_112,1.8482653646789546e-06
Beta_113,0.0
Beta_114,0.0
Beta_115,7.287934890707956e-05
Beta_116,6.279773506700497e-05
Beta_117,8.885398167360814e-05
Beta_118,0.0002715265389722294
Beta_119,0.00035796375189927807
Beta_120,0.0
Beta_121,0.0
Beta_122,0.0
Beta_123,0.0
Beta_124,0.0
Beta_125,0.0
Beta_126,0.0
Beta_127,0.0
Beta_128,0.0
Beta_129,0.0
Beta_130,0.0
Beta_131,0.0
Beta_132,0.0
Beta_133,0.0
Beta_134,0.0
Beta_135,-2.2613658549513795e-05
Beta_136,-3.0355197464151448e-05
Beta_137,-4.031703055146126e-05
Beta_138,-1.315803653274305e-05
Beta_139,-0.00016239743122339445
Beta_140,0.00012338670302505548
Beta_141,1.3224255982848987e-05
Beta_142,0.0
Beta_143,0.0002850424967360424
Beta_144,0.00031504625734367467
Beta_145,0.0
Beta_146,0.0
Beta_147,0.0
Beta_148,0.0
Beta_149,0.0
Beta_150,0.0
Beta_151,0.0
Beta_152,0.0
Beta_153,0.0
Beta_154,0.0
Beta_155,0.0
Beta_156,0.0
Beta_157,0.0
Beta_158,0.0
Beta_159,0.0
Beta_160,0.0
Beta_161,0.0
Beta_162,0.0
Beta_163,0.0
Beta_164,0.0
Beta_165,0.0
Beta_166,0.0
Beta_167,0.0
Beta_168,0.0
Beta_169,0.0
Beta_170,0.0
Beta_171,0.0
Beta_172,0.0
Beta_173,0.0
Beta_174,0.0
Beta_175,0.0
Beta_176,0.0
Beta_177,6.36642603918709e-06
Beta_178,0.0
Beta_179,0.0
Beta_180,6.523943281972982e-06
Beta_181,0.0
Beta_182,6.48092057019027e-05
Beta_183,2.580133373236301e-05
Beta_184,0.0001388802989662014
Beta_185,0.0
Beta_186,0.0
Beta_187,0.0
Beta_188,0.0
Beta_189,0.0
Beta_190,0.0
Beta_191,0.0
Beta_192,0.0
Beta_193,0.0
Beta_194,0.0
Beta_195,0.0
Beta_196,0.0
Beta_197,0.0
Beta_198,0.0
Beta_199,0.0
Beta_200,0.0
Beta_201,0.0
Beta_202,0.0
Beta_203,0.0
Beta_204,0.0
Beta_205,0.0
Beta_206,0.0
Beta_207,0.0
Beta_208,0.0
Beta_209,0.0
Beta_210,0.0
Beta_211,0.0
Beta_212,0.0
Beta_213,0.0
Beta_214,0.0
Beta_215,0.0
Beta_216,0.0
Beta_217,0.0
Beta_218,0.0
Beta_219,0.0
Beta_220,0.0
Beta_221,0.0
Beta_222,0.0
Beta_223,0.0
Beta_224,0.0
Beta_225,0.0
Beta_226,0.0
Beta_227,0.0
Beta_228,0.0
Beta_229,0.0
Beta_230,0.0
Beta_231,7.600793390147739e-06
Beta_232,0.0
Beta_233,0.0
Beta_234,0.0
Beta_235,-2.5595941908568934e-05
Beta_236,0.0
Beta_237,0.0
Beta_238,-0.00015008482222105275
Beta_239,0.0
Beta_240,0.0
Beta_241,0.0
Beta_242,0.0
Beta_243,0.0
Beta_244,0.0
Beta_245,0.0
Beta_246,0.0
Beta_247,0.0
Beta_248,0.0
Beta_249,0.0
Beta_250,0.0
Beta_251,-1.0899571366956022e-05
Beta_252,-1.9163908449853496e-05
Beta_253,-8.494544630928688e-06
Beta_254,0.0
Beta_255,0.0
Beta_256,0.0
Beta_257,0.0
Beta_258,0.0
Beta_259,0.0
Beta_260,0.0
Beta_261,0.0
Beta_262,0.0
Beta_263,0.0
Beta_264,0.0
Beta_265,0.0
Beta_266,0.0
Beta_267,0.0
Beta_268,0.0
Beta_269,0.0
Beta_270,0.0
Beta_271,0.0
Beta_272,-3.828514727775277e-06
Beta_273,0.0
Beta_274,-9.226625997363981e-06
Beta_275,0.0
Beta_276,0.0
Beta_277,0.0
Beta_278,0.0
Beta_279,0.0
Beta_280,0.0
Beta_281,0.0
Beta_282,0.0
Beta_283,0.0
Beta_284,0.0
Beta_285,0.0
Beta_286,0.0
Beta_287,0.0
Beta_288,0.0
Beta_289,4.7773310770610185e-06
Beta_290,0.0
Beta_291,0.0
Beta_292,0.0
Beta_293,0.0
Beta_294,0.0
Beta_295,0.0
Beta_296,4.1391898034755036e-05
Beta_297,0.0
Beta_298,0.0
Beta_299,0.0
Beta_300,0.0
Beta_301,0.0
Beta_302,0.0
Beta_303,0.0
Beta_304,0.0
Beta_305,0.0
Beta_306,0.0
Beta_307,0.0
Beta_308,0.0
Beta_309,0.0
Beta_310,0.0
Beta_311,0.0
Beta_312,0.0
Beta_313,0.0
Beta_314,0.0
Beta_315,0.0
Beta_316,0.0
Beta_317,0.0
Beta_318,0.0
Beta_319,0.0
Beta_320,0.0
Beta_321,0.0
Beta_322,0.0
Beta_323,0.0
Beta_324,-3.5793166459697633e-06
Beta_325,4.929262068913621e-05
Beta_326,0.0
Beta_327,4.1487206813916474e-05
Beta_328,5.1294201750140005e-05
Beta_329,1.560278589656958e-05
Beta_330,0.0
Beta_331,0.0
Beta_332,0.0
Beta_333,0.0
Beta_334,0.0
Beta_335,0.0
Beta_336,0.0
Beta_337,0.0
Beta_338,-3.4644586063860162e-06
Beta_339,0.0
Beta_340,0.0
Beta_341,0.0
Beta_342,0.0
Beta_343,0.0
Beta_344,0.0
Beta_345,-3.930957015255609e-06
Beta_346,-1.0951495831057607e-05
Beta_347,-1.6750680847424846e-05
Beta_348,0.0
Beta_349,-3.356866136201447e-05
Beta_350,0.0
Beta_351,0.0
Beta_352,0.0
Beta_353,0.0
Beta_354,0.0
Beta_355,0.0
Beta_356,0.0
Beta_357,0.0
Beta_358,0.0
Beta_359,-9.87212232254382e-06
Beta_360,0.0
Beta_361,0.0
Beta_362,0.0
Beta_363,0.0
Beta_364,0.0
Beta_365,0.0
Beta_366,0.0
Beta_367,0.0
Beta_368,0.0
Beta_369,0.0
Beta_370,0.0
Beta_371,2.36930524251752e-05
Beta_372,0.0
Beta_373,0.0
Beta_374,0.0
Beta_375,0.0
Beta_376,0.0
Beta_377,0.0
Beta_378,0.0
Beta_379,0.0
Beta_380,2.1268574399513385e-06
Beta_381,0.0
Beta_382,0.0
Beta_383,0.0
Beta_384,0.0
Beta_385,0.0
Beta_386,0.0
Beta_387,0.0
Beta_388,0.0
Beta_389,0.0
Beta_390,0.0
Beta_391,0.0
Beta_392,0.0
Beta_393,0.0
Beta_394,2.4002671283216344e-06
Beta_395,0.00018333035173981327
Beta_396,7.205253896927844e-06
Beta_397,0.0003952774572230776
Beta_398,0.00018992673659272733
Beta_399,6.392917055118466e-05
Beta_400,0.0
Beta_401,0.0
Beta_402,0.0
Beta_403,0.0
