Feature,Coefficient
Beta_0,0.004723609678248099
Beta_1,0.002376370866619814
Beta_2,0.000894936497883138
Beta_3,0.0011093803081014908
Beta_4,0.002107082911370539
Beta_5,0.0014036444544480475
Beta_6,0.0043783364681625496
Beta_7,0.0011070591346337114
Beta_8,0.002708279366550719
Beta_9,0.003127342302501649
Beta_10,-0.06884597971428152
Beta_11,-0.048065070456105446
Beta_12,-0.18633210191599028
Beta_13,-0.07273751748762822
Beta_14,-0.10296906222555262
Beta_15,-0.0007028557382240595
Beta_16,-0.000809743856846664
Beta_17,-0.00021894816392737914
Beta_18,-0.0006194420655483923
Beta_19,-0.0009403122549323323
Beta_20,0.012306347909526616
Beta_21,0.03313549178747734
Beta_22,0.012123983662782218
Beta_23,0.037974616921964056
Beta_24,0.04323838486913332
Beta_25,-0.015143921099890352
Beta_26,-0.021568977870185847
Beta_27,-0.007162421337100507
Beta_28,-0.003687111125375558
Beta_29,-0.010344426425163079
Beta_30,-0.005744335379751506
Beta_31,-0.0036874494726697334
Beta_32,0.0
Beta_33,-0.0025471849248391216
Beta_34,-0.004209914598179188
Beta_35,0.0036377815158436942
Beta_36,0.011379248947903714
Beta_37,0.0027277629079725213
Beta_38,0.006154842201412489
Beta_39,0.006448343628600008
Beta_40,0.006725208308093604
Beta_41,0.07691975723146462
Beta_42,0.03381503597831541
Beta_43,0.06273213585982987
Beta_44,0.07795131880969658
Beta_45,0.017967187142781733
Beta_46,0.10673052256469395
Beta_47,0.2558947303639307
Beta_48,0.13853326709178024
Beta_49,0.09309837182907246
Beta_50,-0.0004904731473039228
Beta_51,-0.00558758682159035
Beta_52,-0.005894900563745409
Beta_53,-0.0011762176431307752
Beta_54,-0.005965137855211146
Beta_55,8.43967628413188e-05
Beta_56,0.0005484763069078158
Beta_57,0.0004963221412124457
Beta_58,0.0012179464071425752
Beta_59,0.0006249495846384791
Beta_60,-0.000158360005153365
Beta_61,-0.00023331956600181354
Beta_62,-0.00026970002885506064
Beta_63,-0.00010319145338742395
Beta_64,0.0
Beta_65,-0.0008803037302970534
Beta_66,-0.00024387126220285017
Beta_67,-0.0026679151974782853
Beta_68,-0.0011771039332031964
Beta_69,0.0
Beta_70,3.88927549485825e-06
Beta_71,0.0009133484646865878
Beta_72,-6.942043890578404e-05
Beta_73,-0.00045344041291610457
Beta_74,-0.0002696799843189826
Beta_75,0.0002290919893369007
Beta_76,0.00637754431395407
Beta_77,0.0023412446300260276
Beta_78,0.0032762966167108774
Beta_79,0.00015168675369302414
Beta_80,0.0
Beta_81,0.00013668077649686827
Beta_82,6.700938793528545e-05
Beta_83,6.162634593240372e-05
Beta_84,0.00011345980049592774
Beta_85,1.7802359422475384e-05
Beta_86,0.0006945252625378712
Beta_87,0.0015981993204525105
Beta_88,0.002367145069421416
Beta_89,-5.156770413365672e-05
Beta_90,-9.95351199362789e-05
Beta_91,-0.000780001385818226
Beta_92,-0.0005175019364842329
Beta_93,0.00025622422101591216
Beta_94,9.096777637387957e-05
Beta_95,0.00019672333697714925
Beta_96,-2.3628433707789505e-05
Beta_97,0.0
Beta_98,3.732617036481709e-05
Beta_99,0.00046692088502849267
Beta_100,0.0012511443160731059
Beta_101,-0.00033704357237532593
Beta_102,0.0
Beta_103,-0.00042995460459608996
Beta_104,-6.221375187156727e-05
Beta_105,-0.0005359358883347489
Beta_106,-0.0002792599400283611
Beta_107,0.0005059736404184293
Beta_108,-0.0001748575333160611
Beta_109,0.0003622911493606216
Beta_110,-0.024451307640244845
Beta_111,-0.006628753083513009
Beta_112,-0.0111757044268419
Beta_113,-0.016460965033701962
Beta_114,-0.0028378415537454733
Beta_115,0.006964758092757943
Beta_116,0.0013820295464541524
Beta_117,0.0032500679963512135
Beta_118,0.003506096580897755
Beta_119,0.0022548979597761766
Beta_120,-0.004255175750978721
Beta_121,-0.0028261908846958987
Beta_122,-0.0029626312056074346
Beta_123,-0.005029918455076701
Beta_124,-0.001427866830800244
Beta_125,0.00010297875740782838
Beta_126,-0.00025973680467586424
Beta_127,-0.001217613610711906
Beta_128,-0.0034870614842520743
Beta_129,-0.001058957707275386
Beta_130,0.0002763901398384744
Beta_131,-0.00034504009040881934
Beta_132,-0.0001373910027848271
Beta_133,0.00023133649874023147
Beta_134,-0.0003026410395675582
Beta_135,-0.004949975668018134
Beta_136,-0.0017926191790501552
Beta_137,-0.007483343211989107
Beta_138,-0.0024399379129784043
Beta_139,-0.0026837733032785698
Beta_140,9.691937942123874e-05
Beta_141,0.00028520102935315755
Beta_142,0.00010591964648925399
Beta_143,5.0966701939773437e-05
Beta_144,-0.00048800873884539454
Beta_145,-0.0003454259521338876
Beta_146,-0.0003140718046446814
Beta_147,-0.0002713125028992891
Beta_148,2.3227294271602196e-05
Beta_149,-0.00011260973135560159
Beta_150,0.0013296882745610118
Beta_151,0.0010075072093573654
Beta_152,0.0008109551215324786
Beta_153,0.0010362299165936663
Beta_154,0.00016722301607525702
Beta_155,-5.568494472221435e-05
Beta_156,-0.0007494578728085048
Beta_157,-0.0004805439829859308
Beta_158,0.0
Beta_159,-0.0005048401439370509
Beta_160,0.0
Beta_161,0.0003695920804950794
Beta_162,0.0
Beta_163,0.0009908222396430048
Beta_164,-9.558469783345766e-05
Beta_165,0.0
Beta_166,0.00011239847481005293
Beta_167,-0.0001898986580050005
Beta_168,0.0008827768962759088
Beta_169,0.0007054358203798103
Beta_170,-0.0016144262160140274
Beta_171,-0.0003637758543306
Beta_172,7.211506985360127e-05
Beta_173,-0.0006546506126605598
Beta_174,-0.0007340936155950182
Beta_175,-0.0040497038399825245
Beta_176,0.0
Beta_177,-0.0012823716485050069
Beta_178,-0.00048096347775878815
Beta_179,-0.000873609737982443
Beta_180,-0.0010184228843727254
Beta_181,-0.0007743476590837013
Beta_182,-0.0005950960113994815
Beta_183,-0.000855797438615661
Beta_184,-0.004140222803473139
Beta_185,-0.00040416100228373515
Beta_186,-0.0005225138616339448
Beta_187,-0.0010255944233750777
Beta_188,-0.0026709110650469667
Beta_189,-0.0013404419930787568
Beta_190,7.284032733869102e-05
Beta_191,0.0022321525354092866
Beta_192,0.0
Beta_193,0.00030196635447711837
Beta_194,0.0008077094428729077
Beta_195,-0.00010476988113093558
Beta_196,-0.00016085801210609824
Beta_197,-0.00018747990237763472
Beta_198,6.446507657714412e-05
Beta_199,0.0005769545159463043
Beta_200,0.00013721594800324263
Beta_201,0.0005927769704856672
Beta_202,0.00011632830291897746
Beta_203,0.0
Beta_204,0.0005376068029673732
Beta_205,-0.00039443165671664357
Beta_206,-0.00011163628516232371
Beta_207,-0.0017945259822359145
Beta_208,-0.0021533075027742408
Beta_209,-0.001274566742605499
Beta_210,0.0
Beta_211,-0.0008152862063287579
Beta_212,-0.00011059219759881207
Beta_213,-0.00010044046493287027
Beta_214,-0.0008833937844868561
Beta_215,0.00016276049261648368
Beta_216,-7.00974837431506e-05
Beta_217,0.0004457226662100942
Beta_218,-0.00012445347771694208
Beta_219,-0.00118223755241383
Beta_220,-7.177764870600466e-05
Beta_221,0.00015971740440587004
Beta_222,-2.1169998839030007e-05
Beta_223,8.164484200160217e-05
Beta_224,-9.088743835205908e-06
Beta_225,0.0
Beta_226,0.0008062900674562381
Beta_227,0.0005194644426950217
Beta_228,0.00019223783513911872
Beta_229,0.0019309920406454454
Beta_230,-0.0003340447529023851
Beta_231,-0.0005194606685028101
Beta_232,-0.0001419329724328925
Beta_233,-0.0019457688433011026
Beta_234,1.3162344227360853e-06
Beta_235,6.182898098765731e-06
Beta_236,0.0006589875105451043
Beta_237,0.000531738653873361
Beta_238,0.0011510213696994801
Beta_239,0.0
Beta_240,0.00047958411534281377
Beta_241,-1.7440030057643658e-07
Beta_242,-0.00011068068859353143
Beta_243,-0.00019523981638084793
Beta_244,0.0
Beta_245,-7.442614333748627e-05
Beta_246,0.0
Beta_247,0.0
Beta_248,-0.0005651411109414069
Beta_249,-0.00023909189837481763
Beta_250,0.0
Beta_251,-4.648248262521971e-05
Beta_252,0.0005458515351661628
Beta_253,0.0034386130133015175
Beta_254,0.0006567760514780987
Beta_255,0.0009596464207244069
Beta_256,7.560223541869647e-05
Beta_257,0.0007942540923803778
Beta_258,-0.0003385194104993274
Beta_259,0.0
Beta_260,0.0006976529408852714
Beta_261,0.00011416066624395572
Beta_262,-0.00072784360934286
Beta_263,0.00011796298557572763
Beta_264,-0.0034447506172569265
Beta_265,0.0020050398823909547
Beta_266,0.0012457500929868917
Beta_267,0.0005029471751846038
Beta_268,0.004342917489581541
Beta_269,0.005803799389652807
Beta_270,0.00021579328466214456
Beta_271,-0.0001237796514719474
