Feature,Coefficient
Beta_0,7.155732232597779e-06
Beta_1,0.00045764327464343867
Beta_2,0.00015541653749963155
Beta_3,0.00028304878334495936
Beta_4,4.270347225583268e-05
Beta_5,0.006349209885271609
Beta_6,0.008944048916343239
Beta_7,0.008543984233901625
Beta_8,0.0032752183400463035
Beta_9,0.002034136485773828
Beta_10,-0.054954255368030495
Beta_11,-0.026071921314202665
Beta_12,-0.1593396870471619
Beta_13,-0.06740610597056429
Beta_14,-0.13859738820388057
Beta_15,-0.00024406836367835816
Beta_16,-0.00023682624933152674
Beta_17,-0.0001366503943038644
Beta_18,-2.8880314870565163e-05
Beta_19,9.771399326882201e-06
Beta_20,0.01231539561587988
Beta_21,0.041390834115775425
Beta_22,0.009736802029944275
Beta_23,0.03881657929801094
Beta_24,0.048635131464962775
Beta_25,-0.011747906651015877
Beta_26,-0.045995953508031574
Beta_27,-0.04389393787246135
Beta_28,-0.021124661914780213
Beta_29,-0.01775066786961401
Beta_30,-0.0038934271265967818
Beta_31,-0.0030574208505209366
Beta_32,-0.0023134072549645954
Beta_33,-0.0012674816614896172
Beta_34,-0.002358622372149944
Beta_35,0.031381072396490184
Beta_36,0.011425486867147033
Beta_37,0.0138503728525572
Beta_38,0.03691030381750101
Beta_39,0.03744026848210398
Beta_40,0.008751524665994496
Beta_41,0.06679632300910376
Beta_42,0.11106707769642989
Beta_43,0.04115880468753905
Beta_44,0.030044665497891372
Beta_45,0.04282572658808271
Beta_46,0.12533376457836373
Beta_47,0.23173744251028566
Beta_48,0.12835704509199417
Beta_49,0.13141124651007338
Beta_50,0.0
Beta_51,-5.309531145910418e-05
Beta_52,-3.498182358718852e-05
Beta_53,-8.144966133776334e-08
Beta_54,0.0
Beta_55,-4.634663647745861e-05
Beta_56,-2.1297035880202495e-05
Beta_57,-8.932490286731879e-05
Beta_58,2.0915228945079392e-05
Beta_59,-3.825947287024593e-06
Beta_60,-0.00015111251711548204
Beta_61,-1.4303037845631351e-05
Beta_62,-4.08499189422959e-06
Beta_63,7.942982217203415e-05
Beta_64,-1.904951037058327e-05
Beta_65,0.00010847484796948766
Beta_66,8.097459707626542e-05
Beta_67,5.6648512117618945e-05
Beta_68,0.00018064586248777735
Beta_69,0.00011496872801568153
Beta_70,-6.36771596100767e-05
Beta_71,-8.184984208832706e-05
Beta_72,0.0
Beta_73,0.0001091075729062005
Beta_74,0.0
Beta_75,-2.04440412827065e-05
Beta_76,-0.00015888731162681108
Beta_77,-0.00011031671383362045
Beta_78,-0.00023492084579063822
Beta_79,-0.00018992383357411071
Beta_80,-4.936127616457836e-05
Beta_81,-0.00010094952212002858
Beta_82,-0.0003245228553152142
Beta_83,-0.0001992187828868084
Beta_84,2.673571386986633e-05
Beta_85,0.00044298126828141765
Beta_86,0.0003465297731366217
Beta_87,0.0
Beta_88,0.00012127301956605037
Beta_89,0.00014954117836844582
Beta_90,-0.00034586309692618286
Beta_91,6.460085614513395e-06
Beta_92,0.0
Beta_93,0.0
Beta_94,-0.00010045171963840424
Beta_95,0.00018086167630370476
Beta_96,0.00012584527399335331
Beta_97,-4.8201244715732285e-05
Beta_98,0.00032837203159060264
Beta_99,8.051699585229044e-05
Beta_100,-0.0004257369618242491
Beta_101,-0.0002922876418789404
Beta_102,-3.761139372022416e-05
Beta_103,-1.385517182527638e-05
Beta_104,-0.00016477074974564738
Beta_105,-8.546909152241083e-05
Beta_106,-7.872018219040099e-06
Beta_107,-1.3178065531955684e-05
Beta_108,0.0
Beta_109,0.0
Beta_110,-2.881998396338893e-06
Beta_111,-2.6895409184676562e-05
Beta_112,-3.823831598263352e-05
Beta_113,1.804449086833772e-05
Beta_114,-2.472507426704797e-05
Beta_115,7.156656371627006e-06
Beta_116,-7.087670383518154e-06
Beta_117,-7.91900735251352e-05
Beta_118,0.0
Beta_119,-2.3572856650516e-05
Beta_120,-0.00010108274828365423
Beta_121,-1.1756583892064368e-05
Beta_122,-0.00010048389184914641
Beta_123,-8.065941565863344e-05
Beta_124,0.0
Beta_125,0.0
Beta_126,6.3800713705656615e-06
Beta_127,-1.2775190645526139e-05
Beta_128,9.302472291149918e-07
Beta_129,0.00028972292493735936
Beta_130,-5.7319478047727256e-05
Beta_131,-0.00014727587799060176
Beta_132,-3.24832593510294e-05
Beta_133,-0.00015658445379469134
Beta_134,-5.567010981571907e-05
Beta_135,0.0
Beta_136,0.0
Beta_137,2.463539431713326e-05
Beta_138,2.0517687746357108e-05
Beta_139,5.834533692649372e-05
Beta_140,-1.6666591655077107e-05
Beta_141,3.747480931992036e-05
Beta_142,2.1836194094341765e-06
Beta_143,5.042458921857962e-05
Beta_144,4.8132882150882045e-05
Beta_145,0.0
Beta_146,0.0
Beta_147,-8.564854104995276e-05
Beta_148,0.0
Beta_149,0.0
Beta_150,-1.4619285428496663e-05
Beta_151,8.267846066642072e-05
Beta_152,-5.884411335430792e-05
Beta_153,-4.398447667152933e-07
Beta_154,-1.9417463277326055e-05
Beta_155,0.0002042713549477486
Beta_156,7.789286313691217e-05
Beta_157,0.0002850070666167417
Beta_158,0.0007354467128530256
Beta_159,0.0004590753819622787
Beta_160,-0.0005709277353089208
Beta_161,-0.0014192971277448558
Beta_162,-0.0011339692064467205
Beta_163,-0.00013476161403546224
Beta_164,-0.00023627755644260395
Beta_165,-5.484578871978619e-05
Beta_166,0.0
Beta_167,-5.1215104894398834e-05
Beta_168,-9.469587302800384e-05
Beta_169,2.9162530529423205e-05
Beta_170,0.00044955420813757045
Beta_171,0.0007246640610952267
Beta_172,0.0005224300331079698
Beta_173,0.00037101174395841536
Beta_174,0.000636336377099949
Beta_175,-4.799450534035199e-05
Beta_176,-1.2238970092496307e-05
Beta_177,9.581547751314268e-06
Beta_178,-1.0963700972427606e-05
Beta_179,0.0
Beta_180,7.002038600196924e-05
Beta_181,2.3257768352516907e-05
Beta_182,0.0
Beta_183,0.00013911974379378396
Beta_184,3.5001683585653604e-05
Beta_185,0.0
Beta_186,1.1171346940961158e-05
Beta_187,0.0
Beta_188,5.7765758056152864e-05
Beta_189,2.2921651003758272e-05
Beta_190,-3.477163506451768e-05
Beta_191,0.0
Beta_192,-7.019112971414441e-05
Beta_193,-2.686446372334108e-05
Beta_194,0.0
Beta_195,4.721761812537413e-05
Beta_196,3.661973768920758e-05
Beta_197,2.019876454734957e-05
Beta_198,-0.0002920338340399577
Beta_199,5.206200074813326e-06
Beta_200,0.00034349387222553317
Beta_201,5.4375152409731164e-05
Beta_202,2.5454748941516823e-05
Beta_203,9.974985702883623e-05
Beta_204,0.00012436493109342007
Beta_205,-3.8011666649331185e-06
Beta_206,-1.694004144583626e-05
Beta_207,-0.00039227837483123156
Beta_208,-0.00012692118220419165
Beta_209,-3.405938518710976e-05
Beta_210,0.0
Beta_211,-1.0870277071541223e-06
Beta_212,-4.7157527235476356e-05
Beta_213,0.0
Beta_214,-0.00011911645882885753
Beta_215,-0.0005763807132326554
Beta_216,-0.0009321948807047926
Beta_217,-0.0004049824176270887
Beta_218,-0.0008095852000970932
Beta_219,-0.00048570388512404554
Beta_220,0.00011166097969614848
Beta_221,3.9288522192117395e-05
Beta_222,0.00010902959614919318
Beta_223,5.879595635781549e-05
Beta_224,-1.7047388416420847e-05
Beta_225,-1.9121654123475124e-05
Beta_226,0.0
Beta_227,1.056070215109043e-05
Beta_228,-2.259485175152197e-06
Beta_229,7.126178553445681e-05
Beta_230,-2.6199623597003473e-05
Beta_231,0.0
Beta_232,6.791066063874714e-05
Beta_233,9.973421725186819e-05
Beta_234,0.0
Beta_235,-2.2480913433663273e-05
Beta_236,0.00017580787809318957
Beta_237,6.923127860836375e-06
Beta_238,9.826013024027577e-05
Beta_239,1.855701995483155e-05
Beta_240,0.00016379823036785657
Beta_241,1.0757467360517119e-05
Beta_242,-0.00011329554001603248
Beta_243,6.665944579502255e-05
Beta_244,4.4116219324665955e-05
Beta_245,0.0
Beta_246,3.6493597539603636e-06
Beta_247,-2.0402028717170113e-05
Beta_248,0.0
Beta_249,0.0
Beta_250,-8.347875456856417e-06
Beta_251,-3.6283088007065324e-05
Beta_252,4.3527934568590924e-05
Beta_253,0.0
Beta_254,0.0
Beta_255,0.0
Beta_256,0.00010495921051363907
Beta_257,3.719684407769066e-05
Beta_258,2.8746419692874928e-05
Beta_259,-3.388381510016497e-05
Beta_260,-8.083356918934785e-05
Beta_261,-4.168027459382393e-05
Beta_262,-0.00014720456837860726
Beta_263,-0.00020283160287107915
Beta_264,-0.0004808708394727523
Beta_265,0.0004714377020255668
Beta_266,0.0001474749104976253
Beta_267,0.00020615827412871437
Beta_268,3.47000555123464e-05
Beta_269,0.0005979542787293952
Beta_270,1.3199578340107818e-05
Beta_271,-0.00017797391647739508
Beta_272,0.0
Beta_273,1.1574327679797492e-05
Beta_274,0.0
Beta_275,0.0
Beta_276,0.0
Beta_277,0.0
Beta_278,4.578002409694509e-05
Beta_279,1.1357890807830288e-05
Beta_280,3.091484412397921e-06
Beta_281,0.0001148254040478767
Beta_282,0.00017865155751041096
Beta_283,0.00023972580206531782
Beta_284,7.281827593090288e-05
Beta_285,-3.877771135209656e-05
Beta_286,-1.10186362228915e-06
Beta_287,-3.0350963560208286e-05
Beta_288,-2.976512218666028e-05
Beta_289,-4.189384555051695e-05
Beta_290,-4.2356136305075895e-05
Beta_291,-0.000203647913999615
Beta_292,0.0
Beta_293,6.42491106401217e-05
Beta_294,4.199802838237347e-05
Beta_295,0.0
Beta_296,5.1022759640232425e-05
Beta_297,0.00021125293716774466
Beta_298,0.00015618342581928555
Beta_299,0.00011754847795630972
Beta_300,1.9599694319860967e-05
Beta_301,-5.580728317238829e-05
Beta_302,2.643919319991723e-06
Beta_303,2.7084034437695422e-05
Beta_304,2.1838760089735306e-05
Beta_305,-7.572620361829459e-05
Beta_306,-0.00028774759714445214
Beta_307,-6.666405235665212e-05
Beta_308,-0.0001400054481335092
Beta_309,-0.00023661846143437185
Beta_310,3.8714994075784805e-05
Beta_311,7.616933965389039e-06
Beta_312,2.634345293158835e-05
Beta_313,-5.924783158956224e-05
Beta_314,3.321972706231427e-05
Beta_315,-1.5112174977456932e-05
Beta_316,-0.00013124681692397599
Beta_317,-1.0311091043719863e-06
Beta_318,-8.753617004219586e-06
Beta_319,1.4500406068223638e-05
Beta_320,5.411139054375233e-06
Beta_321,7.401607885763314e-05
Beta_322,0.00011908391966264462
Beta_323,1.3450941676203054e-05
Beta_324,0.00011498989900044431
Beta_325,-0.0002144102005734384
Beta_326,2.274468081057564e-05
Beta_327,2.8195459313696872e-06
Beta_328,2.3287179807180595e-05
Beta_329,4.70991588277244e-05
Beta_330,-3.0034898871421588e-05
Beta_331,2.050977963843418e-05
Beta_332,1.274518582090156e-06
Beta_333,2.662498275033147e-05
Beta_334,7.134129265668051e-05
Beta_335,-3.7682024716983244e-06
Beta_336,-3.662093970602008e-06
Beta_337,-2.1219018604652576e-05
Beta_338,0.0
Beta_339,8.693211827704914e-05
Beta_340,-0.0003784936905834789
Beta_341,-0.0010608060327829238
Beta_342,-0.0009997077087032411
Beta_343,-0.0006399756131723137
Beta_344,-0.0009755248523439782
Beta_345,-0.0003168765205840599
Beta_346,-0.0004931925616487418
Beta_347,-0.0008324114739099595
Beta_348,-0.0002502205283704777
Beta_349,-0.0008810966148214065
Beta_350,4.533106324012872e-06
Beta_351,2.460938492151561e-06
Beta_352,2.4445245309052677e-05
Beta_353,1.9796396179124654e-05
Beta_354,0.000122715628473074
Beta_355,0.0
Beta_356,-4.7156600022079406e-05
Beta_357,-6.306293608579402e-05
Beta_358,-2.8513525707551e-06
Beta_359,0.0
Beta_360,0.0
Beta_361,-1.0623806440526392e-05
Beta_362,-5.257172844508864e-06
Beta_363,-6.243111705750079e-05
Beta_364,0.0
Beta_365,0.0
Beta_366,-6.779232028484014e-05
Beta_367,-1.1203353280667784e-05
Beta_368,0.0
Beta_369,0.0
Beta_370,-0.0007651662876740587
Beta_371,-0.001008853639629106
Beta_372,-0.0019329456330576744
Beta_373,-0.0007942679938305052
Beta_374,-0.0007228477320517523
Beta_375,0.0
Beta_376,0.00013397909206079312
Beta_377,0.00018065688092760323
Beta_378,1.5299251391498825e-05
Beta_379,0.00024703955321531314
Beta_380,-6.89450465934446e-05
Beta_381,2.5386438454302495e-05
Beta_382,-1.8103516272233066e-05
Beta_383,-3.1003554740624298e-06
Beta_384,-5.9025766788454155e-05
Beta_385,1.6756776200528724e-05
Beta_386,-5.568680840982958e-06
Beta_387,-9.274674536067538e-06
Beta_388,-7.018827098779668e-06
Beta_389,-1.1471907357965929e-05
Beta_390,-0.0012378012279689722
Beta_391,-0.00033680617504467254
Beta_392,-0.001140168222522492
