Feature,Coefficient
Beta_0,0.22126894561614616
Beta_1,0.1754333050669677
Beta_2,0.0008149106209376775
Beta_3,0.2547915567256674
Beta_4,0.3124980679554301
Beta_5,0.0
Beta_6,0.05652430844107783
Beta_7,0.06640149510451006
Beta_8,0.01065703012041794
Beta_9,0.0
Beta_10,0.0012329813571310127
Beta_11,0.016934922317707456
Beta_12,0.00018026052692425064
Beta_13,0.017857688954405045
Beta_14,0.012693763187611942
Beta_15,-0.003986651560222035
Beta_16,-0.007234866686407273
Beta_17,0.0
Beta_18,-0.0008172648530325978
Beta_19,-0.0006273936784524568
Beta_20,0.005946839729410835
Beta_21,0.0008911194983391497
Beta_22,0.0063900403008732305
Beta_23,0.001457743644386848
Beta_24,0.0003533989241664448
Beta_25,0.0
Beta_26,0.01730253413135099
Beta_27,0.006601744508369881
Beta_28,0.00041325624672683474
Beta_29,0.0005093594321707533
Beta_30,0.001445564792336747
Beta_31,-6.391943034628229e-07
Beta_32,0.00019211060762742624
Beta_33,3.6629184567770766e-05
Beta_34,-0.0001666564652164453
Beta_35,0.0
Beta_36,-0.0013174785073966871
Beta_37,0.019239102703834114
Beta_38,0.00089529030007615
Beta_39,0.0023835906518741624
Beta_40,-0.0005059394923890796
Beta_41,-0.001124158921200488
Beta_42,-0.009696509442333013
Beta_43,-0.004475048561277826
Beta_44,-0.007418417610130068
Beta_45,-0.0001201853964708445
Beta_46,0.0
Beta_47,-0.007584593752927995
Beta_48,-0.00011554703797674607
Beta_49,0.0010167087880219193
Beta_50,-0.001565439692808492
Beta_51,0.001490230546416947
Beta_52,-0.008341991888299035
Beta_53,0.0009785239434563777
Beta_54,-0.0007797318661739544
Beta_55,4.063369078228524e-06
Beta_56,0.005679340092560625
Beta_57,0.0013101135907596922
Beta_58,0.0
Beta_59,-0.00048383536985948023
Beta_60,0.0009903354028540899
Beta_61,0.004342913066909103
Beta_62,0.002038137193078453
Beta_63,0.020123288277541417
Beta_64,0.009456872976209356
Beta_65,0.0
Beta_66,-0.007844096060930316
Beta_67,0.00020168815303683464
Beta_68,0.00027642325063202293
Beta_69,-0.016126648238321672
Beta_70,0.016866042037055443
Beta_71,0.0
Beta_72,0.0009455863348170141
Beta_73,-0.0010858162415295484
Beta_74,-0.0032461531339033783
Beta_75,0.00042084925738142964
Beta_76,-0.002094740490167494
Beta_77,0.012411077778192116
Beta_78,-0.0011251721236775008
Beta_79,0.0054535723521584156
Beta_80,-0.007464323981374151
Beta_81,-0.0016457910665860138
Beta_82,-0.006460522063073904
Beta_83,-0.005067746736146172
Beta_84,-0.015076207563329716
Beta_85,0.0003667771143746042
Beta_86,-5.1984433995359496e-05
Beta_87,4.545977477710319e-05
Beta_88,-0.0047057783904426815
Beta_89,0.0016270651966020296
Beta_90,0.006753780386323312
Beta_91,0.0003153768523337611
Beta_92,0.00013145733768886371
Beta_93,0.0026681433271541957
Beta_94,0.003085550016924768
Beta_95,-0.00017528016383663476
Beta_96,0.0013334429358082469
Beta_97,0.005032972765702646
Beta_98,-0.0002633049337943953
Beta_99,0.0005808681817205983
