Dataset,Seed,R_RMSE,R_F1,R_AUPRC,R_RME_All,R_RME_Nz
Dataset_I,v0,0.18863408087980993,0.6666666666666666,0.7666602314441757,0.8970908327286593,0.8965744642372718
Dataset_I,v1,0.30828943196679554,0.45161290322580644,0.9233333333333332,0.9461579027654261,0.9461166501810736
Dataset_I,v2,0.3196751293991578,0.5714285714285714,0.7279365079365079,0.9554411514889312,0.9554383035612738
Dataset_I,v3,0.2879303956571022,0.5,0.6557071707573672,0.9274687064289872,0.9266680671087222
Dataset_I,v4,0.30222234066018994,0.6666666666666666,0.7111344537815125,0.9381639527506739,0.9381639527506739
Dataset_I,v5,0.24535849223046854,0.7777777777777778,0.86,0.9528836441854726,0.9528823346121366
Dataset_I,v6,0.20448613103098134,0.6666666666666666,0.8424107142857143,0.9508564477161068,0.9508564477161069
Dataset_I,v7,0.2507220617541845,0.5263157894736842,0.6845033822801517,0.9243677720898077,0.9239358837452494
Dataset_I,v8,0.11885990340535471,0.5882352941176471,0.8009672244966363,0.9442884294484462,0.9442401114440714
Dataset_I,v9,0.20637240538967425,0.21333333333333335,0.6717316439246264,0.9326554525705596,0.9321082643641849
Dataset_II,v0,0.3640626485617397,0.36633663366336633,0.3883415001898661,0.9768156383657655,0.9768048941595353
Dataset_II,v1,0.27895506134873244,0.7184466019417476,0.6249075608571246,0.9792058012745778,0.9791972062624801
Dataset_II,v2,0.43304907705316403,0.5567010309278351,0.5818541295057428,0.9848384997699706,0.9848345325552971
Dataset_II,v3,0.43266305915805847,0.2302158273381295,0.4966726036996727,0.9840485897870863,0.9840331809009736
Dataset_II,v4,0.47901615785415913,0.5684210526315789,0.4720295686919853,0.9873015660230634,0.9872993139625504
Dataset_II,v5,0.2695422531037979,0.3463203463203463,0.5356693445868048,0.9823948382736559,0.9823856011394474
Dataset_II,v6,0.32130992184809215,0.6666666666666666,0.5065026422602419,0.9845542072233757,0.9845501163974107
Dataset_II,v7,0.3951633198324603,0.5294117647058824,0.4504526727214351,0.9802635320717235,0.9802635320717235
Dataset_II,v8,0.44822956843998235,0.38202247191011235,0.49497653269891945,0.987537250552271,0.9875235878593354
Dataset_II,v9,0.2785712127406079,0.7380952380952381,0.5448189074448238,0.9835766496337738,0.9835745567644869
Dataset_III,v0,0.4673791917052651,0.7341772151898734,0.4798114460115114,0.9815213899939906,0.9815213899939905
Dataset_III,v1,0.5440692668903897,0.8235294117647058,0.6258408014794873,0.9831953910744297,0.9831947409857119
Dataset_III,v2,0.538460515660272,0.66,0.5173205342770648,0.9882417483606108,0.9882410469407075
Dataset_III,v3,0.4788116993313901,0.6842105263157895,0.4425508826771504,0.9855419578079399,0.9855419578079399
Dataset_III,v4,0.58633802717439,0.36363636363636365,0.21064430218128083,0.988229360315761,0.9882285739615915
Dataset_III,v5,0.48350446752790227,0.6301369863013698,0.46004957076479136,0.9876499967417511,0.9876499967417511
Dataset_III,v6,0.4561983555364515,0.691358024691358,0.4382818292199873,0.9862084543572758,0.9862084195538698
Dataset_III,v7,0.462183153223666,0.5945945945945946,0.42491250111074685,0.9802585386700147,0.9802585019512983
Dataset_III,v8,0.45914443876433353,0.717948717948718,0.49651176327459506,0.9879235253525865,0.9879235253525865
Dataset_III,v9,0.43921872402158085,0.6133333333333333,0.4177772289211343,0.98533578746865,0.985335758060058
Dataset_IV,v0,0.21436173560629732,0.8314606741573034,0.6100431879521225,0.9743251081749411,0.9743250662950119
Dataset_IV,v1,0.35586864380234773,0.6577181208053692,0.7487636085496462,0.9774005185456656,0.977398288009368
Dataset_IV,v2,0.6338131958317018,0.6329113924050633,0.6018101984079159,0.9835135196427518,0.983513407345505
Dataset_IV,v3,0.49008604550639084,0.32432432432432434,0.5450262129097696,0.9842792781282939,0.9842761698323002
Dataset_IV,v4,0.4371132479106389,0.5112781954887218,0.4052915545145293,0.9843196858759214,0.9843172033139453
Dataset_IV,v5,0.37655475950484846,0.8297872340425532,0.6071574077604105,0.9799237278570808,0.9799231543258121
Dataset_IV,v6,0.29112486394452697,0.7194244604316546,0.6543394461613558,0.9824357039821575,0.9824350753974539
Dataset_IV,v7,0.3468252662945685,0.5354330708661418,0.4901658616652192,0.9774053244691867,0.9774042311521616
Dataset_IV,v8,0.39023422530785,0.6141732283464567,0.5175869817802573,0.9851269968990927,0.9851261822978936
Dataset_IV,v9,0.4809885725094247,0.6666666666666666,0.5455910532043144,0.9797569322388184,0.9797569322388183
