Dataset,Seed,H_RMSE,H_F1,H_AUPRC,H_RME_All,H_RME_Nz
Dataset_I,v0,0.2224970537733414,0.64,0.8524843577475155,0.8869644481445135,0.8859073073987775
Dataset_I,v1,0.3228993688239154,0.7368421052631579,0.9909090909090909,0.9505568770812467,0.9505560525743331
Dataset_I,v2,0.32022095503540576,0.5714285714285714,0.72015873015873,0.9554279329269577,0.9554249344616129
Dataset_I,v3,0.3653729278810524,0.6666666666666666,0.7935096153846153,0.9524369851195238,0.9524347087069234
Dataset_I,v4,0.2607475295785068,0.8235294117647058,0.6652777777777777,0.907964289772583,0.907964289772583
Dataset_I,v5,0.24535849223046854,0.7777777777777778,0.8629411764705882,0.9528836441854726,0.9528823346121366
Dataset_I,v6,0.2679294191720127,0.7058823529411765,0.9280542986425339,0.9553106930241356,0.955309275834353
Dataset_I,v7,0.27032534464929586,0.7058823529411765,0.8429411764705882,0.95383275221671,0.9538300507517667
Dataset_I,v8,0.1760502003200932,0.5,0.7702664947345796,0.952014660910666,0.952012346907453
Dataset_I,v9,0.2063162675734469,0.5161290322580645,0.7848809523809523,0.9404037201022392,0.9402465566598488
Dataset_II,v0,0.38867940346536,0.6206896551724138,0.3760706964531939,0.974512365746459,0.974506541783238
Dataset_II,v1,0.3001084876631074,0.6779661016949152,0.6111892347610521,0.9740267944349422,0.9740199067513376
Dataset_II,v2,0.4043478587863117,0.4444444444444444,0.5893241992374736,0.9814214764752455,0.9813963021451111
Dataset_II,v3,0.4376597048913865,0.5048543689320388,0.47808929108507214,0.9822812124201562,0.9822710954141702
Dataset_II,v4,0.3960612468048812,0.5494505494505495,0.47704284608630626,0.9843487775432334,0.9843329416556058
Dataset_II,v5,0.2930568033805031,0.6511627906976745,0.5703980416434479,0.9816972257450216,0.9816958683199701
Dataset_II,v6,0.2930238779691293,0.6976744186046512,0.5234833506520915,0.9840281619832043,0.9840260158427662
Dataset_II,v7,0.3876894304877052,0.45454545454545453,0.45074982034268374,0.9760005159986404,0.9759948645469044
Dataset_II,v8,0.45581977783739236,0.5074626865671642,0.566874423192582,0.9861030885865056,0.9860983782604413
Dataset_II,v9,0.2757365618039825,0.6741573033707865,0.5710432960484749,0.9833301643415062,0.9833256714656858
Dataset_III,v0,0.2760560825657418,0.5915492957746479,0.5164529031581903,0.9718895865533825,0.9718895865533824
Dataset_III,v1,0.34897756378787337,0.7012987012987013,0.6872188830553556,0.9666483249685077,0.9666483249685077
Dataset_III,v2,0.4422616198044547,0.6578947368421053,0.5696672849146861,0.976207781303365,0.9761987685930522
Dataset_III,v3,0.366624551677255,0.675,0.4571700690485362,0.97772180768567,0.9777211279872072
Dataset_III,v4,0.5012943598033457,0.40625,0.24074474211160735,0.9819008855649832,0.9818958795610387
Dataset_III,v5,0.42822678713212287,0.5074626865671642,0.4717502054230683,0.9800667569026074,0.9800667569026074
Dataset_III,v6,0.31672850088542964,0.7326732673267327,0.45015319728728737,0.9765227322088669,0.9765195624691672
Dataset_III,v7,0.31654090791989703,0.4067796610169492,0.42719606051796155,0.9687457434040067,0.9687393698863542
Dataset_III,v8,0.31024680660684345,0.7954545454545454,0.5083435272966212,0.9791915134333075,0.9791912037943927
Dataset_III,v9,0.32347951713877127,0.7307692307692307,0.4439017061537245,0.9757290778002576,0.9757248514475322
Dataset_IV,v0,0.2848497542888144,0.6111111111111112,0.6311096250466248,0.9737523069653274,0.9737523069653271
Dataset_IV,v1,0.35482610647093166,0.7804878048780488,0.8252190295783332,0.971040873178163,0.9710408731781631
Dataset_IV,v2,0.5934909631638923,0.5504587155963303,0.628009161939971,0.982218388486777,0.9822171452227278
Dataset_IV,v3,0.48401838714264267,0.6486486486486487,0.6027310375830541,0.9800593736981124,0.9800593736981124
Dataset_IV,v4,0.4293940917079146,0.5507246376811594,0.413794049310389,0.9804903081035157,0.9804903081035157
Dataset_IV,v5,0.4147844773911492,0.7804878048780488,0.6359706341762138,0.9750791095455515,0.9750791095455513
Dataset_IV,v6,0.35973353407095904,0.8235294117647058,0.7220779358826545,0.9813028222654704,0.9813028222654704
Dataset_IV,v7,0.38957051929516895,0.6111111111111112,0.5235858823637519,0.9746836590009024,0.9746836590009024
Dataset_IV,v8,0.38421094068920436,0.717948717948718,0.5534710029698133,0.9822088685395137,0.9822088685395137
Dataset_IV,v9,0.4292212048470745,0.717948717948718,0.5618567853713186,0.9784617968915231,0.9784617968915231
