Dataset,Seed,Alpha,L_RMSE,L_F1,L_AUPRC,L_RME_All,L_RME_Nz,E_RMSE,E_F1,E_AUPRC,E_RME_All,E_RME_Nz
Dataset_I,v0,10.0,1.4237849193507806,0.0,0.1,0.9999999999855662,0.9999999999855662,1.4237849193507806,0.0,0.1,0.9999999999855662,0.9999999999855662
Dataset_I,v0,1.0,1.4237849193507806,0.0,0.1,0.9999999999855662,0.9999999999855662,0.9644447012457531,0.5714285714285714,0.45999999999999996,0.980882622304214,0.980882622304214
Dataset_I,v0,0.1,0.38792488302319966,0.5333333333333333,0.43999999999999995,0.9503314294474146,0.9503198439851122,0.37216529628208517,0.4,0.5333333333333333,0.9480820934052077,0.9479889465410921
Dataset_I,v0,0.01,0.2812220163912549,0.41025641025641024,0.82,0.8851662490777616,0.8841785016985931,0.2840833230331274,0.32,0.8200000000000001,0.8812760509400933,0.8795889308451739
Dataset_I,v0,0.001,0.36091516044642113,0.3076923076923077,0.7875,0.86095963771338,0.8572615360900179,0.4436190506803622,0.23880597014925373,0.6628571428571428,0.8950243108185741,0.8901477546742268
Dataset_I,v1,10.0,0.7695420788379337,0.0,0.1,0.9999999999855662,0.9999999999855662,0.7695420788379337,0.0,0.1,0.9999999999855662,0.9999999999855662
Dataset_I,v1,1.0,0.7695420788379337,0.0,0.1,0.9999999999855662,0.9999999999855662,0.5183449374772879,0.5714285714285714,0.45999999999999996,0.9785903387920293,0.9785903387920294
Dataset_I,v1,0.1,0.3335691201844474,0.8235294117647058,0.73,0.9495146609423335,0.9495146609423335,0.31079724720018687,0.7368421052631579,0.7174999999999999,0.9482531279623838,0.9482408222179394
Dataset_I,v1,0.01,0.2959005149966044,0.32432432432432434,0.6399999999999999,0.9449180541084178,0.9447967063952646,0.31254559103125507,0.30434782608695654,0.6549999999999999,0.9424750154608548,0.9421301700902016
Dataset_I,v1,0.001,0.30822078498253946,0.3157894736842105,0.7928571428571428,0.9241354614989387,0.9232270407869947,0.38022185468744973,0.2631578947368421,0.618103896103896,0.9392680231286785,0.9375797035211055
Dataset_I,v2,10.0,0.791949021040531,0.0,0.1,0.9999999999855662,0.9999999999855662,0.791949021040531,0.0,0.1,0.9999999999855662,0.9999999999855662
Dataset_I,v2,1.0,0.791949021040531,0.0,0.1,0.9999999999855662,0.9999999999855662,0.5081374043975817,0.5714285714285714,0.45999999999999996,0.9791499256198531,0.9791499256198531
